District ID,District Name,Grade,Gender,Total students assessed,Total students achieving HFZ at least once,Percentage achieving HFZ at least once,Total not achieving HFZ on any assessment,Percentage not achieving HFZ on any assessment,Total achieving HFZ exactly once,Total % achieving HFZ exactly once,Total achieving HFZ twice,Total % achieving HFZ twice,Total achieving HFZ  three times,Total % achieving HFZ  three times,Total achieving HFZ four times,Total % achieving HFZ four times,Total achieving HFZ five times,Total % achieving HFZ five times,Total achieving HFZ more than 5 times,Total % achieving HFZ more than 5 times
184907.0,ALEDO ISD,10.0,Boys,186.0,185.0,99.4624,1.0,0.537634,8.0,4.30108,23.0,12.3656,36.0,19.3548,51.0,27.4194,56.0,30.1075,11.0,5.91398
184907.0,ALEDO ISD,11.0,Girls,164.0,164.0,100.0,,,2.0,1.21951,19.0,11.5854,31.0,18.9024,54.0,32.9268,53.0,32.3171,5.0,3.04878
184907.0,ALEDO ISD,11.0,Boys,191.0,184.0,96.3351,7.0,3.66492,17.0,8.90052,19.0,9.94764,47.0,24.6073,49.0,25.6545,47.0,24.6073,5.0,2.6178
184907.0,ALEDO ISD,12.0,Girls,137.0,137.0,100.0,,,9.0,6.56934,15.0,10.9489,44.0,32.1168,29.0,21.1679,36.0,26.2774,4.0,2.91971
184907.0,ALEDO ISD,12.0,Boys,155.0,153.0,98.7097,2.0,1.29032,11.0,7.09677,22.0,14.1935,49.0,31.6129,45.0,29.0323,20.0,12.9032,6.0,3.87097
125901.0,ALICE ISD,3.0,Girls,180.0,180.0,100.0,,,1.0,0.555556,1.0,0.555556,25.0,13.8889,44.0,24.4444,44.0,24.4444,65.0,36.1111
125901.0,ALICE ISD,3.0,Boys,208.0,208.0,100.0,,,4.0,1.92308,17.0,8.17308,31.0,14.9038,46.0,22.1154,54.0,25.9615,56.0,26.9231
125901.0,ALICE ISD,4.0,Girls,184.0,182.0,98.913,2.0,1.08696,7.0,3.80435,19.0,10.3261,37.0,20.1087,36.0,19.5652,40.0,21.7391,43.0,23.3696
125901.0,ALICE ISD,4.0,Boys,197.0,196.0,99.4924,1.0,0.507614,15.0,7.61421,21.0,10.6599,30.0,15.2284,35.0,17.7665,44.0,22.335,51.0,25.8883
125901.0,ALICE ISD,5.0,Girls,206.0,203.0,98.5437,3.0,1.45631,7.0,3.39806,19.0,9.2233,35.0,16.9903,33.0,16.0194,52.0,25.2427,57.0,27.6699
125901.0,ALICE ISD,5.0,Boys,243.0,241.0,99.177,2.0,0.823045,14.0,5.76132,49.0,20.1646,36.0,14.8148,62.0,25.5144,52.0,21.3992,28.0,11.5226
125901.0,ALICE ISD,6.0,Girls,192.0,191.0,99.4792,1.0,0.520833,8.0,4.16667,33.0,17.1875,27.0,14.0625,29.0,15.1042,43.0,22.3958,51.0,26.5625
125901.0,ALICE ISD,6.0,Boys,187.0,184.0,98.3957,3.0,1.60428,19.0,10.1604,30.0,16.0428,39.0,20.8556,33.0,17.6471,34.0,18.1818,29.0,15.508
125901.0,ALICE ISD,7.0,Girls,152.0,148.0,97.3684,4.0,2.63158,16.0,10.5263,29.0,19.0789,27.0,17.7632,30.0,19.7368,31.0,20.3947,15.0,9.86842
125901.0,ALICE ISD,7.0,Boys,203.0,203.0,100.0,,,11.0,5.41872,25.0,12.3153,38.0,18.7192,35.0,17.2414,54.0,26.601,40.0,19.7044
125901.0,ALICE ISD,8.0,Girls,142.0,140.0,98.5915,2.0,1.40845,13.0,9.15493,29.0,20.4225,35.0,24.6479,29.0,20.4225,22.0,15.493,12.0,8.4507
125901.0,ALICE ISD,8.0,Boys,150.0,146.0,97.3333,4.0,2.66667,9.0,6.0,20.0,13.3333,24.0,16.0,28.0,18.6667,28.0,18.6667,37.0,24.6667
125901.0,ALICE ISD,9.0,Girls,178.0,177.0,99.4382,1.0,0.561798,8.0,4.49438,15.0,8.42697,44.0,24.7191,55.0,30.8989,43.0,24.1573,12.0,6.74157
125901.0,ALICE ISD,9.0,Boys,201.0,198.0,98.5075,3.0,1.49254,1.0,0.497512,12.0,5.97015,30.0,14.9254,49.0,24.3781,57.0,28.3582,49.0,24.3781
125901.0,ALICE ISD,10.0,Girls,101.0,100.0,99.0099,1.0,0.990099,4.0,3.9604,8.0,7.92079,14.0,13.8614,34.0,33.6634,26.0,25.7426,14.0,13.8614
125901.0,ALICE ISD,10.0,Boys,112.0,111.0,99.1071,1.0,0.892857,1.0,0.892857,5.0,4.46429,11.0,9.82143,24.0,21.4286,30.0,26.7857,40.0,35.7143
125901.0,ALICE ISD,11.0,Girls,88.0,87.0,98.8636,1.0,1.13636,1.0,1.13636,7.0,7.95455,11.0,12.5,36.0,40.9091,22.0,25.0,10.0,11.3636
125901.0,ALICE ISD,11.0,Boys,103.0,103.0,100.0,,,,,5.0,4.85437,17.0,16.5049,28.0,27.1845,27.0,26.2136,26.0,25.2427
125901.0,ALICE ISD,12.0,Girls,70.0,70.0,100.0,,,2.0,2.85714,7.0,10.0,12.0,17.1429,23.0,32.8571,15.0,21.4286,11.0,15.7143
125901.0,ALICE ISD,12.0,Boys,125.0,125.0,100.0,,,2.0,1.6,11.0,8.8,22.0,17.6,27.0,21.6,33.0,26.4,30.0,24.0
101903.0,ALIEF ISD,3.0,Girls,1684.0,1680.0,99.7625,4.0,0.23753,25.0,1.48456,55.0,3.26603,167.0,9.91686,366.0,21.734,616.0,36.5796,451.0,26.7815
101903.0,ALIEF ISD,3.0,Boys,1797.0,1792.0,99.7218,5.0,0.278242,30.0,1.66945,80.0,4.45186,209.0,11.6305,386.0,21.4802,580.0,32.276,507.0,28.2137
101903.0,ALIEF ISD,4.0,Girls,1613.0,1604.0,99.442,9.0,0.557967,33.0,2.04588,75.0,4.64972,199.0,12.3373,395.0,24.4885,509.0,31.5561,393.0,24.3645
101903.0,ALIEF ISD,4.0,Boys,1807.0,1780.0,98.5058,27.0,1.49419,78.0,4.31655,175.0,9.68456,291.0,16.104,430.0,23.7963,484.0,26.7847,322.0,17.8196
101903.0,ALIEF ISD,5.0,Girls,1563.0,1542.0,98.6564,21.0,1.34357,79.0,5.05438,137.0,8.7652,249.0,15.9309,385.0,24.6321,420.0,26.8714,272.0,17.4024
101903.0,ALIEF ISD,5.0,Boys,1578.0,1531.0,97.0215,47.0,2.97845,129.0,8.1749,186.0,11.7871,285.0,18.0608,349.0,22.1166,371.0,23.5108,211.0,13.3714
101903.0,ALIEF ISD,6.0,Girls,1439.0,1406.0,97.7067,33.0,2.29326,96.0,6.6713,177.0,12.3002,258.0,17.9291,344.0,23.9055,318.0,22.0987,213.0,14.8019
101903.0,ALIEF ISD,6.0,Boys,1593.0,1547.0,97.1124,46.0,2.88763,112.0,7.03076,187.0,11.7389,268.0,16.8236,372.0,23.3522,376.0,23.6033,232.0,14.5637
101903.0,ALIEF ISD,7.0,Girls,1517.0,1497.0,98.6816,20.0,1.31839,53.0,3.49374,127.0,8.37179,249.0,16.414,375.0,24.7198,372.0,24.5221,321.0,21.1602
101903.0,ALIEF ISD,7.0,Boys,1569.0,1556.0,99.1714,13.0,0.828553,79.0,5.03505,168.0,10.7075,297.0,18.9293,420.0,26.7686,386.0,24.6017,206.0,13.1294
101903.0,ALIEF ISD,8.0,Girls,1349.0,1322.0,97.9985,27.0,2.00148,64.0,4.74426,148.0,10.9711,234.0,17.3462,354.0,26.2417,322.0,23.8695,200.0,14.8258
101903.0,ALIEF ISD,8.0,Boys,1378.0,1356.0,98.4035,22.0,1.59652,128.0,9.28882,216.0,15.6749,277.0,20.1016,315.0,22.8592,260.0,18.8679,160.0,11.611
101903.0,ALIEF ISD,9.0,Girls,1506.0,1468.0,97.4768,38.0,2.52324,111.0,7.37052,216.0,14.3426,338.0,22.4436,394.0,26.162,308.0,20.4515,101.0,6.70651
101903.0,ALIEF ISD,9.0,Boys,1495.0,1470.0,98.3278,25.0,1.67224,105.0,7.02341,198.0,13.2441,307.0,20.5351,407.0,27.2241,337.0,22.5418,116.0,7.7592
101903.0,ALIEF ISD,10.0,Girls,1115.0,1094.0,98.1166,21.0,1.88341,77.0,6.90583,149.0,13.3632,252.0,22.6009,295.0,26.4574,254.0,22.7803,67.0,6.00897
101903.0,ALIEF ISD,10.0,Boys,1163.0,1154.0,99.2261,9.0,0.773861,75.0,6.44884,139.0,11.9518,230.0,19.7764,294.0,25.2794,302.0,25.9673,114.0,9.80224
101903.0,ALIEF ISD,11.0,Girls,1123.0,1096.0,97.5957,27.0,2.40427,71.0,6.32235,149.0,13.268,238.0,21.1932,314.0,27.9608,269.0,23.9537,55.0,4.8976
101903.0,ALIEF ISD,11.0,Boys,1095.0,1075.0,98.1735,20.0,1.82648,81.0,7.39726,168.0,15.3425,224.0,20.4566,270.0,24.6575,246.0,22.4658,86.0,7.85388
101903.0,ALIEF ISD,12.0,Girls,884.0,833.0,94.2308,51.0,5.76923,71.0,8.03167,143.0,16.1765,210.0,23.7557,216.0,24.4344,162.0,18.3258,31.0,3.50679
101903.0,ALIEF ISD,12.0,Boys,887.0,832.0,93.7993,55.0,6.20068,57.0,6.42616,130.0,14.6561,187.0,21.0823,217.0,24.4645,190.0,21.4205,51.0,5.74972
101815.0,ALIEF MONTESSORI COMMUNITY SCHOOL,3.0,Girls,19.0,19.0,100.0,,,1.0,5.26316,,,2.0,10.5263,4.0,21.0526,12.0,63.1579,,
101815.0,ALIEF MONTESSORI COMMUNITY SCHOOL,3.0,Boys,13.0,13.0,100.0,,,,,2.0,15.3846,1.0,7.69231,3.0,23.0769,7.0,53.8462,,
101815.0,ALIEF MONTESSORI COMMUNITY SCHOOL,4.0,Girls,10.0,10.0,100.0,,,,,1.0,10.0,2.0,20.0,5.0,50.0,2.0,20.0,,
101815.0,ALIEF MONTESSORI COMMUNITY SCHOOL,4.0,Boys,11.0,11.0,100.0,,,,,1.0,9.09091,4.0,36.3636,5.0,45.4545,1.0,9.09091,,
